iso_code,location,gdp by billions,total_cases,population in millions,total_deaths,density(P/KM^2),total_cases_per_million,new_cases_per_million,total_deaths_per_million,0 or 1 Average,0 or 1 Median,40.16295567,3.09
RKS,Kosovo,7.94,799,1.85,22,159,413.4,4.66,11.38,0,1,,
ROU,Romania,212,11978,19.24,675,84,622.63,18.82,35.09,0,1,,
RUS,Russia,1578,99399,145.93,972,9,681.12,40.03,6.66,0,1,,
RWA,Rwanda,9.14,225,12.95,0,525,17.37,1,0,0,0,,
SAU,Saudi Arabia,687,21402,34.81,157,16,614.76,38.06,4.51,0,1,,
SDN,Sudan,117,375,43.85,28,25,8.55,1.3,0.64,0,0,,
SEN,Senegal,21.07,882,16.74,9,87,52.68,3.52,0.54,0,0,,
SLE,Sierra Leone,3.78,116,7.98,4,111,14.54,1.5,0.5,0,0,,
SLV,El Salvador,24.81,377,6.49,9,313,58.12,4.93,1.39,0,0,,
SMR,San Marino,1.63,563,0.03,41,566,16589.07,294.66,1208.09,1,1,,
SOM,Somalia,4.72,582,15.89,28,25,36.62,3.4,1.76,0,0,,
SRB,Serbia,41.43,8724,8.74,173,100,1282.08,33.36,25.42,0,1,,
SSD,South Sudan,12,34,11.19,0,18,3.04,0,0,0,0,,
STP,Sao Tome and Principe,0.39,14,0.22,0,228,63.88,13.69,0,0,0,,
SUR,Suriname,3,10,0.59,1,4,17.05,0,1.71,0,0,,
SVK,Slovakia,95.62,1391,5.46,22,114,254.78,1.28,4.03,0,1,,
SVN,Slovenia,48.77,1418,2.08,89,103,682.08,4.81,42.81,1,1,,
SWE,Sweden,536,20302,10.1,2462,25,2010.24,67.43,243.78,1,1,,
SWZ,Swaziland,4.71,91,1.14,1,66,78.44,17.24,0.86,0,0,,
SXM,Sint Maarten (Dutch part),0.3,76,42.88,13,1261,1772.31,23.32,303.16,1,1,,
SYC,Seychelles,1.5,11,0.1,0,214,111.86,0,0,0,0,,
SYR,Syria,40.41,43,17.5,3,95,2.46,0,0.17,0,0,,
TCA,Turks and Caicos Islands,1.02,12,0.04,1,41,309.93,0,25.83,0,1,,
TCD,Chad,9.87,52,16.43,2,13,3.17,0,0.12,0,0,,
TGO,Togo,4.76,109,8.28,7,152,13.17,1.21,0.85,0,0,,
THA,Thailand,455,2954,69.8,54,137,42.32,0.23,0.77,0,0,,
TLS,Timor,2.58,24,1.32,0,89,18.2,0,0,0,0,,
TTO,Trinidad and Tobago,22.08,116,1.4,8,273,82.89,0,5.72,0,1,,
TUN,Tunisia,39.95,980,11.82,40,76,82.92,0.42,3.38,0,1,,
TUR,Turkey,852,117589,84.34,3081,110,1394.24,34.81,36.53,0,1,,
TWN,Taiwan,605,429,23.78,6,649,18.01,0,0.25,0,0,,
TZA,Tanzania,53.32,480,59.73,16,67,8.04,2.91,0.27,0,0,,
UGA,Uganda,26,81,45.74,0,229,1.77,0.04,0,0,0,,
UKR,Ukraine,112,9866,43.73,250,75,225.59,10.43,5.72,0,1,,
URY,Uruguay,56.16,630,3.47,15,20,181.36,1.44,4.32,0,1,,
USA,United States,19485,1039909,331,60966,36,3141.69,82.56,184.19,1,1,,
UZB,Uzbekistan,49.68,2002,33.47,9,79,59.82,1.88,0.27,0,0,,
VCT,Saint Vincent and the Grenadines,0.79,16,0.11,0,284,144.21,0,0,0,0,,
VEN,Venezuela,482.4,331,28.44,10,32,11.64,0.07,0.35,0,0,,
VGB,British Virgin Islands,1.03,6,0.03,1,202,198.43,0,33.07,0,1,,
VIR,United States Virgin Islands,3.86,66,0.1,4,298,632.05,67.04,38.31,0,1,,
VNM,Vietnam,224,270,97.34,0,314,2.77,0,0,0,0,,
YEM,Yemen,31.27,6,29.83,0,56,0.2,0.17,0,0,0,,
ZAF,South Africa,349,5350,59.31,103,49,90.21,5.97,1.74,0,0,,
ZMB,Zambia,25.87,97,18.38,3,25,5.28,0.11,0.16,0,0,,
ZWE,Zimbabwe,22.04,40,14.86,4,38,2.69,0.54,0.27,0,0,,
